time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,370,24,1845,500
2024-10-02 00:00:00+00:00,196,18,1546,458
2024-10-03 00:00:00+00:00,169,21,1609,509
2024-10-04 00:00:00+00:00,122,18,1555,532
2024-10-05 00:00:00+00:00,30,11,824,375
2024-10-06 00:00:00+00:00,30,8,905,329
2024-10-07 00:00:00+00:00,144,23,2050,616
2024-10-08 00:00:00+00:00,35,16,2117,681
2024-10-09 00:00:00+00:00,315,21,1905,656
2024-10-10 00:00:00+00:00,102,16,1715,637
2024-10-11 00:00:00+00:00,66,15,1681,625
2024-10-12 00:00:00+00:00,39,18,1548,506
2024-10-13 00:00:00+00:00,39,19,1037,463
2024-10-14 00:00:00+00:00,328,32,2302,771
