time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-20 00:00:00+00:00,100,21,5950,1632
2024-09-21 00:00:00+00:00,30,11,3746,1497
2024-09-22 00:00:00+00:00,50,12,3922,1674
2024-09-23 00:00:00+00:00,102,18,5773,1711
2024-09-24 00:00:00+00:00,489,24,5666,1556
2024-09-25 00:00:00+00:00,190,39,4342,1289
2024-09-26 00:00:00+00:00,375,34,2993,1399
2024-09-27 00:00:00+00:00,194,20,2714,1374
2024-09-28 00:00:00+00:00,28,12,1637,998
2024-09-29 00:00:00+00:00,58,23,1225,546
2024-09-30 00:00:00+00:00,420,15,2164,532
2024-10-01 00:00:00+00:00,370,24,1845,500
2024-10-02 00:00:00+00:00,196,18,1546,458
2024-10-03 00:00:00+00:00,124,21,1534,481
