time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-14 00:00:00+00:00,328,32,2380,804
2024-10-15 00:00:00+00:00,369,32,2426,789
2024-10-16 00:00:00+00:00,200,22,2155,722
2024-10-17 00:00:00+00:00,697,23,2678,773
2024-10-18 00:00:00+00:00,272,25,1983,688
2024-10-19 00:00:00+00:00,28,8,1003,428
2024-10-20 00:00:00+00:00,26,6,835,397
2024-10-21 00:00:00+00:00,196,21,2090,712
2024-10-22 00:00:00+00:00,185,20,2351,714
2024-10-23 00:00:00+00:00,307,24,2093,711
2024-10-24 00:00:00+00:00,297,21,2320,799
2024-10-25 00:00:00+00:00,259,11,1784,630
2024-10-26 00:00:00+00:00,28,8,861,414
2024-10-27 00:00:00+00:00,26,7,749,325
