time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-24 00:00:00+00:00,316,75,4540,602
2024-04-25 00:00:00+00:00,360,65,5124,609
2024-04-26 00:00:00+00:00,398,79,4036,535
2024-04-27 00:00:00+00:00,91,43,1179,264
2024-04-28 00:00:00+00:00,78,46,2344,322
2024-04-29 00:00:00+00:00,349,79,3872,567
2024-04-30 00:00:00+00:00,615,57,3784,556
2024-05-01 00:00:00+00:00,510,61,2795,398
2024-05-02 00:00:00+00:00,289,65,3384,486
2024-05-03 00:00:00+00:00,212,71,3042,443
2024-05-04 00:00:00+00:00,105,32,1779,230
2024-05-05 00:00:00+00:00,68,37,1083,237
2024-05-06 00:00:00+00:00,139,66,3570,609
2024-05-07 00:00:00+00:00,179,69,4031,607
