time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,61,37,849,329
2026-04-07 00:00:00+00:00,176,55,1225,356
2026-04-08 00:00:00+00:00,126,39,1153,436
2026-04-09 00:00:00+00:00,183,47,1166,433
2026-04-10 00:00:00+00:00,84,27,1165,393
2026-04-11 00:00:00+00:00,46,30,1143,248
2026-04-12 00:00:00+00:00,50,29,740,262
2026-04-13 00:00:00+00:00,41,25,1168,403
2026-04-14 00:00:00+00:00,113,37,1067,379
2026-04-15 00:00:00+00:00,133,45,1203,419
2026-04-16 00:00:00+00:00,93,38,1236,384
2026-04-17 00:00:00+00:00,89,34,1430,309
2026-04-18 00:00:00+00:00,41,25,389,196
2026-04-19 00:00:00+00:00,41,23,724,223
