time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,62,32,694,249
2026-05-16 00:00:00+00:00,53,17,954,173
2026-05-17 00:00:00+00:00,49,33,459,173
2026-05-18 00:00:00+00:00,261,40,1726,279
2026-05-19 00:00:00+00:00,77,26,457,214
2026-05-20 00:00:00+00:00,119,36,649,246
2026-05-21 00:00:00+00:00,215,49,518,227
2026-05-22 00:00:00+00:00,170,66,1396,302
2026-05-23 00:00:00+00:00,150,62,555,176
2026-05-24 00:00:00+00:00,103,36,430,161
2026-05-25 00:00:00+00:00,124,52,841,291
2026-05-26 00:00:00+00:00,147,46,600,262
2026-05-27 00:00:00+00:00,136,49,519,270
2026-05-28 00:00:00+00:00,127,52,527,229
