time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-28 00:00:00+00:00,115,35,1069,337
2025-07-29 00:00:00+00:00,75,31,1588,345
2025-07-30 00:00:00+00:00,75,33,1029,342
2025-07-31 00:00:00+00:00,50,24,1096,333
2025-08-01 00:00:00+00:00,63,25,1068,296
2025-08-02 00:00:00+00:00,55,15,954,147
2025-08-03 00:00:00+00:00,40,21,505,179
2025-08-04 00:00:00+00:00,98,29,1334,382
2025-08-05 00:00:00+00:00,336,44,1236,351
2025-08-06 00:00:00+00:00,70,29,977,364
2025-08-07 00:00:00+00:00,173,41,1108,361
2025-08-08 00:00:00+00:00,124,35,1280,312
2025-08-09 00:00:00+00:00,38,21,1006,150
2025-08-10 00:00:00+00:00,36,19,326,137
