time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-24 00:00:00+00:00,519,30,3806,591
2024-07-25 00:00:00+00:00,323,17,3142,518
2024-07-26 00:00:00+00:00,338,25,2971,487
2024-07-27 00:00:00+00:00,28,6,1363,259
2024-07-28 00:00:00+00:00,35,11,911,221
2024-07-29 00:00:00+00:00,143,15,3179,549
2024-07-30 00:00:00+00:00,348,30,3359,558
2024-07-31 00:00:00+00:00,367,29,4332,611
2024-08-01 00:00:00+00:00,184,29,4257,589
2024-08-02 00:00:00+00:00,171,29,3087,511
2024-08-03 00:00:00+00:00,37,9,975,206
2024-08-04 00:00:00+00:00,44,13,1275,208
2024-08-05 00:00:00+00:00,177,23,3226,546
2024-08-06 00:00:00+00:00,354,31,3828,560
