time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-13 00:00:00+00:00,546,51,4772,902
2024-06-14 00:00:00+00:00,184,39,3638,668
2024-06-15 00:00:00+00:00,42,12,1389,263
2024-06-16 00:00:00+00:00,39,10,1551,246
2024-06-17 00:00:00+00:00,60,29,3548,585
2024-06-18 00:00:00+00:00,360,61,4511,737
2024-06-19 00:00:00+00:00,525,62,4039,610
2024-06-20 00:00:00+00:00,379,67,4332,687
2024-06-21 00:00:00+00:00,334,50,3721,590
2024-06-22 00:00:00+00:00,59,21,1441,280
2024-06-23 00:00:00+00:00,50,22,1155,344
2024-06-24 00:00:00+00:00,300,24,5019,624
2024-06-25 00:00:00+00:00,311,31,5360,1174
2024-06-26 00:00:00+00:00,148,21,5670,1348
